연도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전국,전라남도,전라북도,제주특별자치도,충청남도,충청북도
2017,-25152207992.0,-182646311068.0,-57341706223.0,-80220625440.0,-12837567750.0,-23282044413.0,-14022498416.0,-31310820123.0,-63453865673.0,-4742982248.0,-58576491572.0,-39603133005.0,-415557690491.0,-60251140791.0,-38134493971.0,-7998161349.0,-90273033071.0,-41663589911.0
2018,-25530669450.49,-197479037780.02,-57965226825.51,-81149103100.49,-12875090849.7724,-23607864253.417,-14335033467.2019,-31488652275.41,-65298736988.5935,-4937951313.465647,-63421474156.86,-39890656809.97,-431989931722.38245,-61306075756.43,-38444830213.47,-8461874417.207,-93498679172.3,-44699882316.775
2019,-24869775854.288,-198434854177.762,-56818182996.429,-78182662774.33,-12581468009.492,-22976906680.498,-14001402092.762,-30825520727.92,-64621050922.623,-5137691752.024124,-64225951237.17,-38739345997.203,-427938846533.2061,-57970633168.752,-37291775051.051,-8637235436.86,-95070726616.752,-45893757179.29
2020,-24313012905.0,-200606662857.0,-55727689914.0,-71426584665.0,-12244483255.0,-21707817050.0,-13927959632.0,-29908461692.0,-61183196734.0,-5381082637.0,-62204948170.0,-37286811901.0,-414886881643.0,-55024321472.0,-33750843257.0,-8523051027.0,-90780981134.0,-46170266321.0
2021,-25366814612.917,-218126282089.849,-59270700284.781,-78130717854.303,-13093149983.618,-23047443491.188,-14647077259.639,-30960675651.691,-63368810664.703,-7103690640.083,-63385688116.615,-39585159704.242,-438999909881.635,-60156020391.824,-35772674726.567,-9057216991.626,-88272620631.666,-49064782204.323
2022,-26443263457.587,-231579925436.313,-60006767689.278,-78694683435.837,-13307195717.053,-23894001340.3368,-15137884905.309,-31676100993.104,-66277804626.091,-4803141697.171,-61998194836.869,-40541794287.224,-452268431630.2038,-62470325234.025,-36451119922.706,-9692489195.082,-90915598591.175,-51013292894.043
