"시점","월별(1)","발전원별(1)",발전원별(2),발전원별(3),데이터
"2017","1월","한전 및 자회사",기력,LNG,93912
"2017","1월","한전 및 자회사",복합화력,소계,3472152
"2017","1월","한전 및 자회사",원자력,소계,13104438
"2017","1월","한전 및 자회사",신재생,소계,144705
"2017","1월","한전 및 자회사",집단,소계,220588
"2017","1월","한전 및 자회사",내연력,소계,33212
"2017","1월","타사",소계,소계,10642856
"2017","1월","타사",수력,소계,119830
"2017","1월","타사",수력,일반,84490
"2017","1월","타사",수력,소수력,35341
"2017","1월","타사",기력,유연탄,278686
"2017","1월","타사",복합화력,소계,5385878
"2017","1월","타사",신재생,소계,1746043
"2017","1월","타사",집단,소계,3112418
"2017","1월","사업자(종합)",소계,소계,49501488
"2017","1월","사업자(종합)",수력,소계,537783
"2017","1월","사업자(종합)",수력,일반,122103
"2017","1월","사업자(종합)",수력,양수,365932
"2017","1월","사업자(종합)",수력,소수력,49749
"2017","1월","사업자(종합)",기력,소계,21744269
"2017","1월","사업자(종합)",기력,무연탄,636666
"2017","1월","사업자(종합)",기력,유연탄,20073852
"2017","1월","사업자(종합)",기력,중유,939839
"2017","1월","사업자(종합)",기력,LNG,93912
"2017","1월","사업자(종합)",복합화력,소계,8858031
"2017","1월","사업자(종합)",원자력,소계,13104438
"2017","1월","사업자(종합)",신재생,소계,1890748
"2017","1월","사업자(종합)",집단,소계,3333007
"2017","1월","사업자(종합)",내연력,소계,33212
"2017","1월","상용자가",한전구입,소계,41160
"2017","1월","총발전량",사업자+한전구입,소계,49542649
"2017","2월","한전 및 자회사",소계,소계,35496007
"2017","2월","한전 및 자회사",수력,소계,402267
"2017","2월","한전 및 자회사",수력,일반,37701
"2017","2월","한전 및 자회사",수력,양수,352201
"2017","2월","한전 및 자회사",수력,소수력,12366
"2017","2월","한전 및 자회사",기력,소계,19168753
"2017","2월","한전 및 자회사",기력,무연탄,590463
"2017","2월","한전 및 자회사",기력,유연탄,17626862
"2017","2월","한전 및 자회사",기력,중유,867864
"2017","2월","한전 및 자회사",기력,LNG,83564
"2017","2월","한전 및 자회사",복합화력,소계,3121794
"2017","2월","한전 및 자회사",원자력,소계,12373488
"2017","2월","한전 및 자회사",신재생,소계,99007
"2017","2월","한전 및 자회사",집단,소계,302107
"2017","2월","한전 및 자회사",내연력,소계,28592
"2017","2월","타사",소계,소계,9956379
"2017","2월","타사",수력,소계,105834
"2017","2월","타사",수력,일반,79599
"2017","2월","타사",수력,소수력,26235
"2017","2월","타사",기력,유연탄,230130
"2017","2월","타사",복합화력,소계,5075544
"2017","2월","타사",신재생,소계,1668128
"2017","2월","타사",집단,소계,2876742
"2017","2월","사업자(종합)",소계,소계,45452386
"2017","2월","사업자(종합)",수력,소계,508101
"2017","2월","사업자(종합)",수력,일반,117300
"2017","2월","사업자(종합)",수력,양수,352201
"2017","2월","사업자(종합)",수력,소수력,38601
"2017","2월","사업자(종합)",기력,소계,19398883
"2017","2월","사업자(종합)",기력,무연탄,590463
"2017","2월","사업자(종합)",기력,유연탄,17856992
"2017","2월","사업자(종합)",기력,중유,867864
"2017","2월","사업자(종합)",기력,LNG,83564
"2017","2월","사업자(종합)",복합화력,소계,8197338
"2017","2월","사업자(종합)",원자력,소계,12373488
"2017","2월","사업자(종합)",신재생,소계,1767135
"2017","2월","사업자(종합)",집단,소계,3178849
"2017","2월","사업자(종합)",내연력,소계,28592
"2017","2월","상용자가",한전구입,소계,46173
"2017","2월","총발전량",사업자+한전구입,소계,45498559
"2017","3월","한전 및 자회사",소계,소계,35672236
"2017","3월","한전 및 자회사",수력,소계,389424
"2017","3월","한전 및 자회사",수력,일반,49148
"2017","3월","한전 및 자회사",수력,양수,328292
"2017","3월","한전 및 자회사",수력,소수력,11984
"2017","3월","한전 및 자회사",기력,소계,19181112
"2017","3월","한전 및 자회사",기력,무연탄,465244
"2017","3월","한전 및 자회사",기력,유연탄,18499247
"2017","3월","한전 및 자회사",기력,중유,173914
"2017","3월","한전 및 자회사",기력,LNG,42707
"2017","3월","한전 및 자회사",복합화력,소계,2497517
"2017","3월","한전 및 자회사",원자력,소계,13174746
"2017","3월","한전 및 자회사",신재생,소계,219370
"2017","3월","한전 및 자회사",집단,소계,165294
"2017","3월","한전 및 자회사",내연력,소계,44773
"2017","3월","타사",소계,소계,11339861
"2017","3월","타사",수력,소계,111676
"2017","3월","타사",수력,일반,81833
"2017","3월","타사",수력,소수력,29843
"2017","3월","타사",기력,유연탄,407561
"2017","3월","타사",복합화력,소계,6030517
"2017","3월","타사",신재생,소계,1778832
"2017","3월","타사",집단,소계,3011274
"2017","3월","사업자(종합)",소계,소계,47012097
"2017","3월","사업자(종합)",수력,소계,501101
"2017","3월","사업자(종합)",수력,일반,130981
"2017","3월","사업자(종합)",수력,양수,328292
"2017","3월","사업자(종합)",수력,소수력,41827
"2017","3월","사업자(종합)",기력,소계,19588674
"2017","3월","사업자(종합)",기력,무연탄,465244
"2017","3월","사업자(종합)",기력,유연탄,18906809
"2017","3월","사업자(종합)",기력,중유,173914
"2017","3월","사업자(종합)",기력,LNG,42707
"2017","3월","사업자(종합)",복합화력,소계,8528033
"2017","3월","사업자(종합)",원자력,소계,13174746
"2017","3월","사업자(종합)",신재생,소계,1998202
"2017","3월","사업자(종합)",집단,소계,3176568
"2017","3월","사업자(종합)",내연력,소계,44773
"2017","3월","상용자가",한전구입,소계,37487
"2017","3월","총발전량",사업자+한전구입,소계,47049584
"2017","4월","한전 및 자회사",소계,소계,33240589
"2017","4월","한전 및 자회사",수력,소계,378089
"2017","4월","한전 및 자회사",수력,일반,50537
"2017","4월","한전 및 자회사",수력,양수,314478
"2017","4월","한전 및 자회사",수력,소수력,13074
"2017","4월","한전 및 자회사",기력,소계,17105922
"2017","4월","한전 및 자회사",기력,무연탄,462381
"2017","4월","한전 및 자회사",기력,유연탄,16452195
"2017","4월","한전 및 자회사",기력,중유,191346
"2017","4월","한전 및 자회사",복합화력,소계,1876031
"2017","4월","한전 및 자회사",원자력,소계,13301538
"2017","4월","한전 및 자회사",신재생,소계,270178
"2017","4월","한전 및 자회사",집단,소계,259056
"2017","4월","한전 및 자회사",내연력,소계,49775
"2017","4월","타사",소계,소계,8769194
"2017","4월","타사",수력,소계,133045
"2017","4월","타사",수력,일반,89553
"2017","4월","타사",수력,소수력,43492
"2017","4월","타사",기력,유연탄,64326
"2017","4월","타사",복합화력,소계,4490241
"2017","4월","타사",신재생,소계,1777330
"2017","4월","타사",집단,소계,2304252
"2017","4월","사업자(종합)",소계,소계,42009783
"2017","4월","사업자(종합)",수력,소계,511134
"2017","4월","사업자(종합)",수력,일반,140091
"2017","4월","사업자(종합)",수력,양수,314478
"2017","4월","사업자(종합)",수력,소수력,56566
"2017","4월","사업자(종합)",기력,소계,17170248
"2017","4월","사업자(종합)",기력,무연탄,462381
"2017","4월","사업자(종합)",기력,유연탄,16516521
"2017","4월","사업자(종합)",기력,중유,191346
