연도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전국,전라남도,전라북도,제주특별자치도,충청남도,충청북도
2017,20911898.0,61850744.0,55565893.0,84097328.0,480426.0,2673615.0,184668.0,26550923.0,841569.0,3052432.0,22677064.0,62555723.0,553532125.0,66047667.0,9715713.0,3133515.0,131897043.0,1293887.0
2018,30980843.51,74188981.98,53192098.49,76124555.51,514494.2276,2649458.583,183668.7981,38495982.59,640739.4065,3718198.534353,20588807.14,62929390.03,570648524.6175529,60066483.57,11742504.53,3371318.793,129631997.7,1626983.225
2019,28715887.712,73976878.238,48465021.571,79827085.67,562074.508,2877895.502,167975.238,37527898.08,1846891.377,2463629.975876,29016048.83,60052894.797,563042323.793876,55753829.248,12282266.949,3994629.14,123904967.248,1604430.71
2020,27875047.0,72512661.0,35332874.0,85865577.0,609551.0,2568644.0,167834.0,40647380.0,5122176.0,3552567.0,29808674.0,57135627.0,552164179.0,58217106.0,12599529.0,3821827.0,114103936.0,2221149.0
2021,30622785.083,82232650.151,43885393.219,81381671.697,644018.382,2811756.812,182180.361,40353946.309,5343889.297,3776643.917,31503575.385,60506261.758,576811509.3649999,61841016.176,14322433.433,3967926.374,111228524.334,2204815.677
2022,33876526.413,85780163.687,49481590.722,89843898.163,769032.947,2468915.6632,295032.691,46579328.896,4336753.909,3278702.829,33641329.131,54283452.776,594402386.7962,59383537.975,14990919.294,4815152.918,107812826.825,2763199.957
