년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월,사용량
201701,서울특별시,전체,"사업시설관리,사업지원서비스업","14,397 ","30,773,255 ","4,270,963,045 ",138.8 ,2017,01,30773255.0
201701,서울특별시,전체,숙박 및 음식점업 ,"65,916 ","210,720,422 ","27,383,167,735 ",130 ,2017,01,210720422.0
201701,서울특별시,전체,"예술,스포츠및여가관련서비스업","12,164 ","59,932,581 ","7,860,108,064 ",131.1 ,2017,01,59932581.0
201701,서울특별시,전체,운수업,"3,561 ","181,263,488 ","22,621,527,555 ",124.8 ,2017,01,181263488.0
201701,서울특별시,전체,"전기, 가스, 증기 및 수도사업 ","4,020 ","92,720,357 ","11,165,313,098 ",120.4 ,2017,01,92720357.0
201701,서울특별시,전체,"전문, 과학 및 기술 서비스업 ","7,319 ","23,318,083 ","3,172,387,080 ",136 ,2017,01,23318083.0
201701,서울특별시,전체,제조업 ,"45,138 ","179,564,928 ","22,456,780,053 ",125.1 ,2017,01,179564928.0
201701,서울특별시,전체,"출판영상,방송통신정보서비스업","24,958 ","141,989,056 ","16,689,600,484 ",117.5 ,2017,01,141989056.0
201701,서울특별시,전체,하수폐기처리원료재생환경복원,"2,389 ","31,602,266 ","4,030,634,235 ",127.5 ,2017,01,31602266.0
201701,서울특별시,전체,"협회단체,수리기타개인서비스업","31,359 ","99,665,474 ","14,012,571,144 ",140.6 ,2017,01,99665474.0
201701,서울특별시,전체,합계,"586,485 ","2,882,627,112 ","374,142,123,532 ",129.8,2017,01,2882627112.0
201701,세종특별자치시,전체,건설업 ,590 ,"7,328,087 ","1,012,064,584 ",138.1 ,2017,01,7328087.0
201701,세종특별자치시,전체,"공공행정, 국방 및 사회보장 행정",127 ,"10,808,032 ","1,390,462,256 ",128.7 ,2017,01,10808032.0
201701,세종특별자치시,전체,광업 ,26 ,"1,629,828 ","252,731,697 ",155.1 ,2017,01,1629828.0
201701,세종특별자치시,전체,교육 서비스업,242 ,"7,313,646 ","722,110,373 ",98.7 ,2017,01,7313646.0
201701,세종특별자치시,전체,금융 및 보험업 ,74 ,"532,294 ","73,525,086 ",138.1 ,2017,01,532294.0
201701,세종특별자치시,전체,"농업, 임업 및 어업 ","8,260 ","6,028,787 ","297,926,739 ",49.4 ,2017,01,6028787.0
201701,세종특별자치시,전체,도매 및 소매업,"2,240 ","6,337,119 ","850,756,964 ",134.2 ,2017,01,6337119.0
201701,세종특별자치시,전체,보건업 및 사회복지 서비스업,229 ,"1,354,825 ","146,729,790 ",108.3 ,2017,01,1354825.0
201701,세종특별자치시,전체,부동산업 및 임대업 ,"3,655 ","10,848,055 ","1,613,881,991 ",148.8 ,2017,01,10848055.0
201701,세종특별자치시,전체,"사업시설관리,사업지원서비스업",122 ,"227,968 ","32,160,379 ",141.1 ,2017,01,227968.0
201701,세종특별자치시,전체,숙박 및 음식점업 ,"1,653 ","3,605,631 ","476,074,546 ",132 ,2017,01,3605631.0
201701,세종특별자치시,전체,"예술,스포츠및여가관련서비스업",204 ,"1,255,164 ","171,161,841 ",136.4 ,2017,01,1255164.0
201701,세종특별자치시,전체,운수업,511 ,"6,349,139 ","880,204,600 ",138.6 ,2017,01,6349139.0
201701,세종특별자치시,전체,"전기, 가스, 증기 및 수도사업 ",529 ,"8,434,916 ","1,003,164,988 ",118.9 ,2017,01,8434916.0
201701,세종특별자치시,전체,"전문, 과학 및 기술 서비스업 ",67 ,"1,725,009 ","225,092,285 ",130.5 ,2017,01,1725009.0
201701,세종특별자치시,전체,제조업 ,909 ,"125,274,131 ","14,537,775,887 ",116 ,2017,01,125274131.0
201701,세종특별자치시,전체,"출판영상,방송통신정보서비스업","1,111 ","2,108,537 ","251,921,563 ",119.5 ,2017,01,2108537.0
201701,세종특별자치시,전체,하수폐기처리원료재생환경복원,140 ,"5,003,837 ","636,093,597 ",127.1 ,2017,01,5003837.0
201701,세종특별자치시,전체,"협회단체,수리기타개인서비스업",638 ,"1,754,489 ","239,098,404 ",136.3 ,2017,01,1754489.0
