산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,450 ,"376,237 ","67,128,907 ",178.4 
202007,전체(시도),전체(시 / 군 / 구),건설업,"79,443 ","277,873,988 ","44,118,796,844 ",158.8 
202007,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","43,948 ","481,442,350 ","71,786,372,770 ",149.1 
202007,전체(시도),전체(시 / 군 / 구),광업,"3,556 ","123,605,876 ","18,437,448,833 ",149.2 
202007,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,221 ","658,662,826 ","79,353,936,383 ",120.5 
202007,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,254 ,"73,393,205 ","7,866,798,814 ",107.2 
202007,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,651 ","136,489,824 ","20,626,004,844 ",151.1 
202007,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,779,096 ","1,198,614,502 ","60,969,880,576 ",50.9 
202007,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"603,875 ","1,728,562,406 ","248,312,757,324 ",143.7 
202007,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,075 ","526,499,733 ","71,212,995,816 ",135.3 
202007,전체(시도),전체(시 / 군 / 구),부동산업,"1,091,839 ","3,112,085,175 ","475,845,072,038 ",152.9 
202007,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","79,976 ","125,963,866 ","20,007,472,613 ",158.8 
202007,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","93,279 ","1,013,032,393 ","125,656,549,340 ",124.0 
202007,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"497,763 ","1,271,143,159 ","185,207,225,645 ",145.7 
202007,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","69,805 ","330,798,488 ","51,191,160,808 ",154.8 
202007,전체(시도),전체(시 / 군 / 구),운수 및 창고업,"167,590 ","972,413,452 ","121,771,683,519 ",125.2 
202007,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 공기 조절 공급업","49,422 ","645,888,765 ","85,325,672,441 ",132.1 
202007,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업","32,707 ","288,403,540 ","39,049,937,307 ",135.4 
202007,전체(시도),전체(시 / 군 / 구),정보통신업,"214,686 ","760,162,675 ","94,390,579,513 ",124.2 
202007,전체(시도),전체(시 / 군 / 구),제조업,"352,193 ","20,837,758,241 ","2,472,103,819,350 ",118.6 
202007,전체(시도),전체(시 / 군 / 구),"협회 및 단체, 수리 및 기타 개인 서비스업","216,278 ","374,927,454 ","63,262,882,389 ",168.7 
202008,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,447 ,"405,248 ","69,957,803 ",172.6 
202008,전체(시도),전체(시 / 군 / 구),건설업,"78,670 ","291,732,279 ","45,004,157,890 ",154.3 
202008,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","43,724 ","520,873,632 ","75,929,017,129 ",145.8 
202008,전체(시도),전체(시 / 군 / 구),광업,"3,555 ","112,204,759 ","16,850,261,091 ",150.2 
202008,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,162 ","676,788,442 ","74,666,212,377 ",110.3 
202008,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,255 ,"82,992,957 ","8,737,516,585 ",105.3 
202008,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,626 ","144,693,712 ","21,288,811,584 ",147.1 
202008,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,786,440 ","1,430,926,259 ","71,296,950,739 ",49.8 
202008,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"602,296 ","1,882,992,224 ","262,183,482,399 ",139.2 
202008,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,063 ","590,645,596 ","75,998,787,348 ",128.7 
202008,전체(시도),전체(시 / 군 / 구),부동산업,"1,096,113 ","3,398,759,792 ","502,664,840,842 ",147.9 
202008,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","79,604 ","135,172,831 ","20,766,132,877 ",153.6 
202008,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","95,566 ","1,050,954,563 ","127,097,286,759 ",120.9 
202008,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"497,767 ","1,467,416,790 ","205,591,579,660 ",140.1 
202008,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","69,543 ","378,366,653 ","54,493,580,210 ",144.0 
202008,전체(시도),전체(시 / 군 / 구),운수 및 창고업,"168,008 ","1,061,724,578 ","127,251,394,606 ",119.9 
202008,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 공기 조절 공급업","49,809 ","690,535,962 ","86,411,422,755 ",125.1 
202008,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업","32,795 ","316,384,076 ","41,389,914,343 ",130.8 
202008,전체(시도),전체(시 / 군 / 구),정보통신업,"216,073 ","787,894,764 ","95,949,870,726 ",121.8 
202008,전체(시도),전체(시 / 군 / 구),제조업,"353,140 ","20,803,586,903 ","2,417,291,242,662 ",116.2 
202008,전체(시도),전체(시 / 군 / 구),"협회 및 단체, 수리 및 기타 개인 서비스업","215,974 ","404,145,904 ","65,943,628,675 ",163.2 
202009,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,445 ,"405,119 ","63,557,211 ",156.9 
202009,전체(시도),전체(시 / 군 / 구),건설업,"79,038 ","289,732,628 ","39,747,597,612 ",137.2 
202009,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","43,630 ","495,810,971 ","65,424,999,865 ",132.0 
202009,전체(시도),전체(시 / 군 / 구),광업,"3,551 ","125,612,321 ","15,239,194,258 ",121.3 
202009,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,101 ","647,543,591 ","69,413,184,296 ",107.2 
202009,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,254 ,"81,130,895 ","8,650,169,080 ",106.6 
