산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 01 월 ~ 2022년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202201,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",420 ,"437,002 ","67,479,235 ",154.4 
202201,전체(시도),전체(시 / 군 / 구),건설업 ,"85,971 ","463,385,009 ","61,401,994,546 ",132.5 
202201,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","47,988 ","655,571,192 ","85,092,930,721 ",129.8 
202201,전체(시도),전체(시 / 군 / 구),광업 ,"3,789 ","160,092,926 ","21,624,889,576 ",135.1 
202201,전체(시도),전체(시 / 군 / 구),교육 서비스업,"72,253 ","1,097,093,451 ","110,633,414,274 ",100.8 
202201,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,236 ,"59,396,826 ","6,514,118,579 ",109.7 
202201,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"15,624 ","160,230,325 ","21,475,900,054 ",134.0 
202201,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업 ","1,865,843 ","1,947,323,745 ","95,505,987,427 ",49.0 
202201,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"580,124 ","1,842,511,121 ","238,752,573,321 ",129.6 
202201,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,329 ","705,409,685 ","81,373,504,568 ",115.4 
202201,전체(시도),전체(시 / 군 / 구),부동산업 및 임대업 ,"1,189,906 ","3,982,077,903 ","538,558,413,702 ",135.2 
202201,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원서비스업","70,770 ","149,349,816 ","20,261,833,211 ",135.7 
202201,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업 ,"498,412 ","1,449,385,896 ","186,575,900,914 ",128.7 
202201,전체(시도),전체(시 / 군 / 구),"예술,스포츠및여가관련서비스업","67,561 ","434,038,732 ","57,500,802,054 ",132.5 
202201,전체(시도),전체(시 / 군 / 구),운수업,"179,940 ","1,119,257,009 ","132,264,653,406 ",118.2 
202201,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 수도사업 ","133,265 ","598,945,309 ","106,106,251,348 ",177.2 
202201,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업 ","33,631 ","317,606,262 ","39,923,421,871 ",125.7 
202201,전체(시도),전체(시 / 군 / 구),제조업 ,"358,063 ","23,524,897,485 ","2,649,058,128,334 ",112.6 
202201,전체(시도),전체(시 / 군 / 구),"출판영상,방송통신정보서비스업","237,542 ","829,542,653 ","93,580,052,860 ",112.8 
202201,전체(시도),전체(시 / 군 / 구),하수폐기처리원료재생환경복원,"37,784 ","609,758,716 ","70,315,824,257 ",115.3 
202201,전체(시도),전체(시 / 군 / 구),"협회단체,수리기타개인서비스업","214,821 ","603,117,212 ","80,928,673,372 ",134.2 
202202,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",421 ,"436,289 ","67,425,615 ",154.5 
202202,전체(시도),전체(시 / 군 / 구),건설업 ,"84,847 ","440,247,556 ","59,006,843,124 ",134.0 
202202,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","48,285 ","640,979,393 ","82,341,255,718 ",128.5 
202202,전체(시도),전체(시 / 군 / 구),광업 ,"3,775 ","141,687,682 ","19,657,121,564 ",138.7 
202202,전체(시도),전체(시 / 군 / 구),교육 서비스업,"72,673 ","943,267,851 ","98,423,774,170 ",104.3 
202202,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,236 ,"66,894,334 ","7,218,086,435 ",107.9 
202202,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"15,606 ","152,491,070 ","20,619,596,807 ",135.2 
