산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2024년 07 월 ~ 2024년 07월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202407,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,434 ,"296,694 ","68,545,489 ",231.0 
202407,전체(시도),전체(시 / 군 / 구),건설업,"85,258 ","342,547,098 ","68,849,096,845 ",201.0 
202407,전체(시도),전체(시 / 군 / 구),"공공행정,국방및사회보장행정","58,749 ","589,577,732 ","115,351,075,982 ",195.7 
202407,전체(시도),전체(시 / 군 / 구),광업,"3,579 ","135,234,317 ","27,540,127,067 ",203.6 
202407,전체(시도),전체(시 / 군 / 구),교육서비스업,"73,106 ","831,928,433 ","131,833,274,575 ",158.5 
202407,전체(시도),전체(시 / 군 / 구),국제및외국기관,212 ,"75,094,199 ","11,352,894,301 ",151.2 
202407,전체(시도),전체(시 / 군 / 구),금융및보험업,"15,478 ","144,862,107 ","28,070,260,781 ",193.8 
202407,전체(시도),전체(시 / 군 / 구),"농업,임업및어업","1,973,638 ","1,389,808,021 ","120,314,596,476 ",86.6 
202407,전체(시도),전체(시 / 군 / 구),도매및소매업,"553,375 ","1,839,836,516 ","337,047,188,967 ",183.2 
202407,전체(시도),전체(시 / 군 / 구),보건업및사회복지서비스업,"69,260 ","621,521,206 ","108,851,416,826 ",175.1 
202407,전체(시도),전체(시 / 군 / 구),부동산업,"1,257,989 ","3,892,078,343 ","753,127,810,711 ",193.5 
202407,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원및임대서비스업","70,739 ","130,825,241 ","26,194,618,097 ",200.2 
202407,전체(시도),전체(시 / 군 / 구),"수도,하수및폐기물처리,원료재생업","97,006 ","1,082,810,005 ","185,414,768,292 ",171.2 
202407,전체(시도),전체(시 / 군 / 구),숙박및음식점업,"524,070 ","1,554,264,374 ","284,364,464,798 ",183.0 
202407,전체(시도),전체(시 / 군 / 구),"예술,스포츠및여가관련서비스업","67,878 ","419,118,112 ","79,237,757,464 ",189.1 
