산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 07 월 ~ 2017년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201707,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,509 ,"459,370 ","79,287,912 ",172.6 
201707,전체(시도),전체(시 / 군 / 구),건설업,"73,475 ","266,438,377 ","41,689,749,290 ",156.5 
201707,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","35,238 ","474,701,541 ","68,895,486,560 ",145.1 
201707,전체(시도),전체(시 / 군 / 구),광업,"3,726 ","117,431,405 ","18,266,135,199 ",155.5 
201707,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,188 ","748,143,336 ","90,501,094,192 ",121.0 
201707,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,230 ,"69,811,332 ","7,401,966,463 ",106.0 
201707,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,787 ","155,963,747 ","22,811,070,265 ",146.3 
201707,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,600,114 ","1,119,543,193 ","55,650,425,095 ",49.7 
201707,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"661,238 ","1,904,933,587 ","268,833,120,617 ",141.1 
201707,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,395 ","528,750,976 ","69,872,957,192 ",132.1 
201707,전체(시도),전체(시 / 군 / 구),부동산업,"923,761 ","2,973,888,299 ","442,073,400,061 ",148.7 
201707,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","89,266 ","140,225,332 ","21,748,171,431 ",155.1 
201707,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","93,746 ","987,662,466 ","121,810,216,794 ",123.3 
201707,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"511,924 ","1,391,680,864 ","196,981,040,698 ",141.5 
201707,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","74,564 ","403,567,999 ","58,866,013,893 ",145.9 
201707,전체(시도),전체(시 / 군 / 구),운수 및 창고업,"145,050 ","942,596,333 ","115,609,356,289 ",122.6 
201707,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 공기 조절 공급업","10,851 ","546,797,756 ","73,010,550,043 ",133.5 
201707,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업","34,061 ","260,885,399 ","35,256,176,070 ",135.1 
201707,전체(시도),전체(시 / 군 / 구),정보통신업,"183,743 ","644,773,538 ","80,183,282,061 ",124.4 
201707,전체(시도),전체(시 / 군 / 구),제조업,"332,067 ","22,128,019,531 ","2,582,842,897,836 ",116.7 
201707,전체(시도),전체(시 / 군 / 구),"협회 및 단체, 수리 및 기타 개인 서비스업","221,919 ","418,460,626 ","67,755,216,037 ",161.9 
201708,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,508 ,"520,110 ","85,692,761 ",164.8 
201708,전체(시도),전체(시 / 군 / 구),건설업,"73,820 ","275,432,661 ","42,163,020,883 ",153.1 
201708,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","35,389 ","528,241,937 ","75,328,370,869 ",142.6 
201708,전체(시도),전체(시 / 군 / 구),광업,"3,750 ","115,638,797 ","18,040,978,847 ",156.0 
201708,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,221 ","722,106,302 ","90,549,553,247 ",125.4 
201708,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,230 ,"78,126,816 ","8,201,118,633 ",105.0 
201708,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,796 ","169,217,094 ","24,289,129,872 ",143.5 
201708,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,608,568 ","1,325,324,881 ","64,736,293,193 ",48.8 
201708,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"659,518 ","2,096,771,097 ","290,333,247,389 ",138.5 
201708,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,404 ","578,833,776 ","75,079,903,691 ",129.7 
201708,전체(시도),전체(시 / 군 / 구),부동산업,"928,353 ","3,310,434,545 ","480,600,361,624 ",145.2 
201708,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","89,003 ","156,051,050 ","23,534,812,398 ",150.8 
201708,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","93,716 ","1,004,244,164 ","124,037,253,141 ",123.5 
201708,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"511,989 ","1,645,622,045 ","225,832,001,998 ",137.2 
201708,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","74,576 ","456,163,547 ","64,748,843,845 ",141.9 
201708,전체(시도),전체(시 / 군 / 구),운수 및 창고업,"145,855 ","995,568,826 ","120,892,462,988 ",121.4 
201708,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 공기 조절 공급업","11,194 ","559,050,067 ","75,044,431,050 ",134.2 
201708,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업","33,949 ","263,789,093 ","35,876,757,573 ",136.0 
201708,전체(시도),전체(시 / 군 / 구),정보통신업,"183,398 ","660,151,714 ","81,717,444,396 ",123.8 
201708,전체(시도),전체(시 / 군 / 구),제조업,"333,072 ","21,708,908,958 ","2,542,158,986,921 ",117.1 
201708,전체(시도),전체(시 / 군 / 구),"협회 및 단체, 수리 및 기타 개인 서비스업","221,717 ","464,699,631 ","72,879,253,921 ",156.8 
201709,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,508 ,"476,770 ","73,764,234 ",154.7 
201709,전체(시도),전체(시 / 군 / 구),건설업,"74,194 ","248,927,367 ","34,803,579,901 ",139.8 
201709,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","35,593 ","445,101,777 ","57,662,107,619 ",129.5 
201709,전체(시도),전체(시 / 군 / 구),광업,"3,742 ","124,038,759 ","15,705,513,450 ",126.6 
201709,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,201 ","694,640,081 ","76,625,679,977 ",110.3 
201709,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,230 ,"61,148,668 ","6,624,290,519 ",108.3 
201709,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,803 ","145,993,254 ","18,425,735,405 ",126.2 
201709,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,615,973 ","1,231,192,163 ","60,630,776,647 ",49.2 
201709,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"658,191 ","1,824,881,218 ","224,198,972,845 ",122.9 
201709,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,429 ","480,089,534 ","55,974,724,597 ",116.6 
201709,전체(시도),전체(시 / 군 / 구),부동산업,"932,486 ","2,827,312,543 ","369,791,691,848 ",130.8 
201709,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","88,626 ","133,575,746 ","18,396,184,978 ",137.7 
