산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 01 월 ~ 2020년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202001,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,460 ,"468,316 ","71,418,125 ",152.5 
202001,전체(시도),전체(시 / 군 / 구),건설업,"77,803 ","381,095,271 ","51,212,674,557 ",134.4 
202001,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","42,534 ","576,505,174 ","74,487,415,596 ",129.2 
202001,전체(시도),전체(시 / 군 / 구),광업,"3,562 ","129,630,848 ","17,844,290,779 ",137.7 
202001,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,737 ","942,938,068 ","98,201,762,073 ",104.1 
202001,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,264 ,"68,419,726 ","7,516,292,945 ",109.9 
202001,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,727 ","149,145,676 ","20,242,905,294 ",135.7 
202001,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,735,279 ","1,655,274,167 ","81,199,004,254 ",49.1 
202001,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"614,183 ","1,763,231,290 ","231,398,129,358 ",131.2 
202001,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,320 ","623,328,939 ","72,895,391,264 ",116.9 
202001,전체(시도),전체(시 / 군 / 구),부동산업,"1,071,729 ","3,389,083,656 ","465,028,935,759 ",137.2 
202001,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","81,876 ","155,342,332 ","21,424,528,413 ",137.9 
202001,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","93,273 ","1,031,732,544 ","120,540,561,379 ",116.8 
202001,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"501,305 ","1,434,540,312 ","184,985,753,647 ",129.0 
