산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 07 월 ~ 2019년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201907,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,474 ,"385,398 ","69,111,163 ",179.3 
201907,전체(시도),전체(시 / 군 / 구),건설업,"77,325 ","262,152,402 ","42,116,838,182 ",160.7 
201907,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","40,162 ","476,761,146 ","71,295,236,770 ",149.5 
201907,전체(시도),전체(시 / 군 / 구),광업,"3,591 ","126,132,726 ","19,109,324,547 ",151.5 
201907,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,557 ","705,215,351 ","87,707,015,945 ",124.4 
201907,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,262 ,"73,241,398 ","7,899,842,181 ",107.9 
201907,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,744 ","143,706,813 ","21,551,415,521 ",150.0 
201907,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,719,415 ","1,216,491,435 ","60,357,004,517 ",49.6 
201907,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"623,772 ","1,776,806,929 ","254,548,148,632 ",143.3 
201907,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,202 ","523,906,903 ","70,844,771,271 ",135.2 
201907,전체(시도),전체(시 / 군 / 구),부동산업,"1,043,218 ","3,067,638,510 ","466,787,353,859 ",152.2 
201907,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","83,422 ","132,345,601 ","21,063,523,690 ",159.2 
201907,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","93,548 ","1,016,258,149 ","126,875,312,368 ",124.8 
201907,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"503,774 ","1,311,605,148 ","189,716,832,225 ",144.6 
201907,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","71,850 ","377,971,886 ","56,525,511,294 ",149.5 
201907,전체(시도),전체(시 / 군 / 구),운수 및 창고업,"160,987 ","965,689,606 ","123,661,354,898 ",128.1 
201907,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 공기 조절 공급업","31,319 ","630,327,074 ","83,292,053,829 ",132.1 
201907,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업","32,904 ","287,502,425 ","39,152,427,911 ",136.2 
