산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2021년 01 월 ~ 2021년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202101,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,438 ,"460,615 ","68,187,442 ",148.0 
202101,전체(시도),전체(시 / 군 / 구),건설업,"80,717 ","430,332,304 ","55,842,956,835 ",129.8 
202101,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","44,682 ","635,014,970 ","79,505,397,742 ",125.2 
202101,전체(시도),전체(시 / 군 / 구),광업,"3,846 ","151,939,620 ","20,168,292,147 ",132.7 
202101,전체(시도),전체(시 / 군 / 구),교육 서비스업,"70,775 ","1,061,896,461 ","103,101,592,172 ",97.1 
202101,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,251 ,"72,415,493 ","7,680,731,668 ",106.1 
202101,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,835 ","164,744,525 ","21,672,909,935 ",131.6 
202101,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,798,622 ","1,890,678,207 ","86,260,706,792 ",45.6 
202101,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"594,727 ","1,804,031,011 ","230,837,242,269 ",128.0 
202101,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,512 ","707,002,935 ","79,435,478,352 ",112.4 
202101,전체(시도),전체(시 / 군 / 구),부동산업,"1,120,206 ","3,639,865,773 ","487,514,149,601 ",133.9 
202101,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","78,597 ","158,337,516 ","21,108,369,926 ",133.3 
202101,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","96,372 ","1,096,808,136 ","125,632,436,649 ",114.5 
202101,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"501,204 ","1,368,767,462 ","175,267,992,643 ",128.0 
202101,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","68,806 ","369,744,589 ","50,370,816,859 ",136.2 
202101,전체(시도),전체(시 / 군 / 구),운수 및 창고업,"172,386 ","1,030,060,419 ","122,408,937,220 ",118.8 
202101,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 공기 조절 공급업","55,595 ","747,430,069 ","90,274,042,500 ",120.8 
202101,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업","33,152 ","315,020,743 ","38,920,108,752 ",123.5 
202101,전체(시도),전체(시 / 군 / 구),정보통신업,"225,969 ","766,236,008 ","86,831,538,511 ",113.3 
202101,전체(시도),전체(시 / 군 / 구),제조업,"359,060 ","22,512,202,618 ","2,479,914,075,175 ",110.2 
202101,전체(시도),전체(시 / 군 / 구),"협회 및 단체, 수리 및 기타 개인 서비스업","217,595 ","581,084,380 ","77,276,077,569 ",133.0 
