"시점","용도별(1)","항목",합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
"2023","공공용","판매량 (MWh)",26604249,2822474,2435408,2200075,1957673,1855839,1995544,2256781,2352846,2304796,1873348,2019130,2530336
"2023","공공용","점유율 (%)",4.9,5.5,5.1,5.0,4.6,4.5,4.6,4.8,4.7,4.8,4.5,4.7,5.5
"2023","서비스업 및 기타","판매량 (MWh)",157770852,16016230,14949692,12426155,11587090,11246563,12089234,13455031,14909755,13915471,11585121,11833139,13757371
"2023","서비스업 및 기타","점유율 (%)",28.9,31.3,31.2,28.2,27.4,27.1,28.1,28.8,29.6,29.0,27.7,27.6,29.8
"2023","농림어업","판매량 (MWh)",18777187,1990536,1945151,1554716,1387318,1265001,1352779,1357195,1732403,1679316,1286891,1652694,1573187
"2023","농림어업","점유율 (%)",3.4,3.9,4.1,3.5,3.3,3.1,3.1,2.9,3.4,3.5,3.1,3.9,3.4
"2023","광업","판매량 (MWh)",1709275,145149,145789,149703,143855,139524,141917,137939,135848,134766,133358,151115,150313
"2023","광업","점유율 (%)",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3
"2023","제조업","판매량 (MWh)",261218468,23274534,21602876,21976115,21288627,21243811,21477608,22414527,22171951,21935168,20762830,21265676,21804744
"2023","제조업","점유율 (%)",47.8,45.4,45.1,49.8,50.3,51.3,49.9,48.0,44.0,45.6,49.7,49.6,47.2
