2017,2018,2019,2020,2021,2022
553530107,570646507,563040305,552162160,607767903,622585130
49542649,53394215,52903789,49851376,53155603,54792301
45498559,46472301,44932402,46448998,44973731,48487502
47049584,47248780,47209275,46164928,47192720,49659153
42021612,43155441,43945853,42255395,43637495,44858870
42820063,44297930,44334192,41581363,44304640,46180830
43430386,44494153,43793268,43829618,45788106,47586861
49651095,52020038,49739732,46683450,54144925,55027406
48951121,53234984,51641721,51050911,51795796,53963962
44195917,43527290,44462306,44599442,45410303,46308310
42386526,44927441,44629604,43164475,46147145,45741659
46080764,46036823,45164724,44932096,46885417,46223019
51901834,51837111,50283440,51600108,53373609,55570492
