년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월
202112,전라남도,전체,숙박 및 음식점업 ,"29,904 ","67,273,653 ","9,013,387,141 ",134 ,2021,12
202112,전라남도,전체,예술/스포츠및여가관련서비스업,"3,713 ","18,214,372 ","2,629,441,188 ",144.4 ,2021,12
202112,전라남도,전체,운수업,"34,904 ","52,779,800 ","4,480,518,458 ",84.9 ,2021,12
202112,전라남도,전체,전기/ 가스/ 증기 및 수도사업 ,"9,434 ","87,932,754 ","10,891,740,222 ",123.9 ,2021,12
202112,전라남도,전체,전문/ 과학 및 기술 서비스업 ,"1,641 ","5,010,045 ","737,627,501 ",147.2 ,2021,12
202112,전라남도,전체,제조업 ,"12,698 ","1,832,482,391 ","199,454,158,725 ",108.8 ,2021,12
202112,전라남도,전체,출판영상/방송통신정보서비스업,"12,943 ","21,389,375 ","2,499,898,414 ",116.9 ,2021,12
202112,전라남도,전체,하수폐기처리원료재생환경복원,"3,457 ","30,534,736 ","3,619,011,727 ",118.5 ,2021,12
202112,전라남도,전체,협회단체/수리기타개인서비스업,"12,716 ","24,522,188 ","3,522,689,041 ",143.7 ,2021,12
202112,전라남도,전체,합계,"515,371 ","2,672,752,050 ","282,769,009,436 ",105.8,2021,12
202201,전라남도,전체,"가구내고용,미분류자가소비생산",63 ,"72,716 ","11,180,188 ",153.8 ,2022,01
202201,전라남도,전체,건설업 ,"4,825 ","14,485,846 ","2,087,052,271 ",144.1 ,2022,01
202201,전라남도,전체,"공공행정, 국방 및 사회보장 행정","5,078 ","32,464,933 ","5,391,896,256 ",166.1 ,2022,01
202201,전라남도,전체,광업 ,950 ,"7,185,616 ","1,146,244,657 ",159.5 ,2022,01
202201,전라남도,전체,교육 서비스업,"4,046 ","39,254,269 ","4,244,479,027 ",108.1 ,2022,01
202201,전라남도,전체,금융 및 보험업 ,"1,059 ","5,769,617 ","804,055,758 ",139.4 ,2022,01
202201,전라남도,전체,"농업, 임업 및 어업 ","279,272 ","326,728,360 ","15,803,489,056 ",48.4 ,2022,01
202201,전라남도,전체,도매 및 소매업,"26,606 ","58,850,845 ","7,734,054,197 ",131.4 ,2022,01
202201,전라남도,전체,보건업 및 사회복지 서비스업,"4,556 ","36,958,017 ","4,257,692,014 ",115.2 ,2022,01
202201,전라남도,전체,부동산업 및 임대업 ,"38,211 ","72,042,301 ","9,959,435,225 ",138.2 ,2022,01
202201,전라남도,전체,"사업시설관리,사업지원서비스업","5,426 ","6,856,310 ","962,325,196 ",140.4 ,2022,01
202201,전라남도,전체,숙박 및 음식점업 ,"29,866 ","79,184,738 ","10,130,415,852 ",127.9 ,2022,01
202201,전라남도,전체,"예술,스포츠및여가관련서비스업","3,714 ","20,683,125 ","2,828,433,932 ",136.8 ,2022,01
202201,전라남도,전체,운수업,"35,130 ","52,675,875 ","4,435,909,954 ",84.2 ,2022,01
202201,전라남도,전체,"전기, 가스, 증기 및 수도사업 ","9,582 ","87,032,874 ","10,646,130,926 ",122.3 ,2022,01
202201,전라남도,전체,"전문, 과학 및 기술 서비스업 ","1,649 ","5,548,731 ","787,440,034 ",141.9 ,2022,01
202201,전라남도,전체,제조업 ,"12,742 ","1,824,896,079 ","195,612,737,760 ",107.2 ,2022,01
202201,전라남도,전체,"출판영상,방송통신정보서비스업","13,032 ","22,157,764 ","2,568,572,242 ",115.9 ,2022,01
202201,전라남도,전체,하수폐기처리원료재생환경복원,"3,471 ","31,805,663 ","3,645,358,031 ",114.6 ,2022,01
202201,전라남도,전체,"협회단체,수리기타개인서비스업","12,728 ","29,932,824 ","4,032,579,614 ",134.7 ,2022,01
202201,전라남도,전체,합계,"492,006 ","2,754,586,503 ","287,089,482,190 ",104.2,2022,01
202202,전라남도,전체,"가구내고용,미분류자가소비생산",63 ,"72,736 ","10,800,948 ",148.5 ,2022,02
202202,전라남도,전체,건설업 ,"4,788 ","13,380,617 ","1,983,718,611 ",148.3 ,2022,02
202202,전라남도,전체,"공공행정, 국방 및 사회보장 행정","5,121 ","32,005,379 ","4,274,327,287 ",133.6 ,2022,02
202202,전라남도,전체,광업 ,945 ,"6,054,875 ","1,020,730,289 ",168.6 ,2022,02
202202,전라남도,전체,교육 서비스업,"4,058 ","29,033,654 ","3,397,688,862 ",117 ,2022,02
202202,전라남도,전체,금융 및 보험업 ,"1,057 ","5,658,793 ","790,973,243 ",139.8 ,2022,02
202202,전라남도,전체,"농업, 임업 및 어업 ","279,380 ","329,654,141 ","15,924,424,776 ",48.3 ,2022,02
202202,전라남도,전체,도매 및 소매업,"26,548 ","57,902,106 ","7,639,930,155 ",131.9 ,2022,02
