년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월
201701,충청북도,전체,"가구내고용,미분류자가소비생산",7 ,"4,729 ","412,406 ",87.2 ,2017,01
201701,충청북도,전체,건설업 ,"3,779 ","16,297,545 ","2,160,388,629 ",132.6 ,2017,01
201701,충청북도,전체,"공공행정, 국방 및 사회보장 행정","1,684 ","27,109,695 ","3,460,328,494 ",127.6 ,2017,01
201701,충청북도,전체,광업 ,176 ,"10,833,875 ","1,623,512,140 ",149.9 ,2017,01
201701,충청북도,전체,교육 서비스업,"2,942 ","43,574,898 ","4,250,386,287 ",97.5 ,2017,01
201701,충청북도,전체,금융 및 보험업 ,814 ,"5,007,547 ","687,358,987 ",137.3 ,2017,01
201701,충청북도,전체,"농업, 임업 및 어업 ","117,006 ","64,714,206 ","3,268,204,486 ",50.5 ,2017,01
201701,충청북도,전체,도매 및 소매업,"21,442 ","51,459,124 ","6,793,615,644 ",132 ,2017,01
201701,충청북도,전체,보건업 및 사회복지 서비스업,"3,275 ","25,610,311 ","2,786,707,581 ",108.8 ,2017,01
201701,충청북도,전체,부동산업 및 임대업 ,"31,642 ","72,708,855 ","10,051,424,820 ",138.2 ,2017,01
201701,충청북도,전체,"사업시설관리,사업지원서비스업","3,629 ","4,119,418 ","567,173,028 ",137.7 ,2017,01
201701,충청북도,전체,숙박 및 음식점업 ,"22,107 ","52,617,489 ","6,847,492,098 ",130.1 ,2017,01
201701,충청북도,전체,"예술,스포츠및여가관련서비스업","3,226 ","14,350,707 ","2,094,576,646 ",146 ,2017,01
201701,충청북도,전체,운수업,"6,639 ","44,317,621 ","5,304,153,649 ",119.7 ,2017,01
201701,충청북도,전체,"전기, 가스, 증기 및 수도사업 ","4,377 ","25,061,776 ","2,979,786,860 ",118.9 ,2017,01
201701,충청북도,전체,"전문, 과학 및 기술 서비스업 ","1,205 ","6,257,180 ","851,243,911 ",136 ,2017,01
201701,충청북도,전체,제조업 ,"10,898 ","1,287,714,508 ","148,196,618,047 ",115.1 ,2017,01
