지역,2018,2019,2020,2021,2022,2018_2022
서울특별시,640739406.5,1846891377.0,5122176383.0,5343889297.0,4336753909.0,17290450372.5
부산광역시,38496000000.0,37527900000.0,40647400000.0,40353900000.0,46579300000.0,203604500000.0
대구광역시,2649458583.0,2877895502.0,2568644277.0,2811756812.0,2468915663.0,13376670837.0
인천광역시,62929400000.0,60052900000.0,57135600000.0,60506300000.0,54283500000.0,294907700000.0
광주광역시,514494227.6,562074508.0,609551031.8,644018382.1,769032947.2,3099171096.7
대전광역시,183668798.1,167975237.6,167834042.1,182180361.1,295032691.2,996691130.0999999
울산광역시,20588800000.0,29016000000.0,29808700000.0,31503600000.0,33641300000.0,144558400000.0
세종특별자치시,3718198534.0,2463629976.0,3552567196.0,3776643917.0,3278702829.0,16789742452.0
경기도,74189000000.0,73976900000.0,72512700000.0,82232700000.0,85780200000.0,388691500000.0
강원도,30980800000.0,28715900000.0,27875000000.0,30622800000.0,33876500000.0,152071000000.0
충청북도,1626983225.0,1604430710.0,2221149360.0,2204815677.0,2763199957.0,10420578929.0
충청남도,129632000000.0,123905000000.0,114104000000.0,111229000000.0,107813000000.0,586683000000.0
전라북도,11742500000.0,12282300000.0,12599500000.0,14322400000.0,14990900000.0,65937600000.0
전라남도,60066500000.0,55753800000.0,58217100000.0,61841000000.0,59383500000.0,295261900000.0
경상북도,76124600000.0,79827100000.0,85865600000.0,81381700000.0,89843900000.0,413042900000.0
경상남도,53192100000.0,48465000000.0,35332900000.0,43885400000.0,49481600000.0,230357000000.0
제주특별자치도,3371318793.0,3994629140.0,3821827153.0,3967926374.0,4815152918.0,19970854378.0
전체(시도),570647000000.0,563040000000.0,552162000000.0,576809000000.0,594400000000.0,2857058000000.0
