지역,2018,2019,2020,2021,2022
강원도,25561650294,24898491742,24340887952,25397437398,26477139984
경기도,1.97553E+11,1.98509E+11,2.00679E+11,2.18209E+11,2.31666E+11
경상남도,58018418924,56866648018,55763022788,59314585678,60056249280
경상북도,81225227656,78262489860,71512450242,78212099526,78784527334
광주광역시,12875605344,12582030084,12245092806,13093794002,13307964750
대구광역시,23610513712,22979784576,21710385694,23050255248,23896470256
전라남도,61366142240,58026386998,55082538578,60217861408,62529708772
전라북도,38456572718,37304057318,33763442786,35786997160,36466110842
전체(시도),4.32561E+11,4.28502E+11,4.15439E+11,4.39577E+11,4.52863E+11
제주특별자치도,8465245736,8641230066,8526872854,9061184918,9697304348
충청남도,93628311170,95194631584,90895085070,88383849156,91023411418
충청북도,44701509300,45895361610,46172487470,49066987020,51016056094
대전광역시,14335217136,14001570068,13928127466,14647259440,15138179938
부산광역시,31527148258,30863048626,29949109072,31001029598,31722680322
서울특별시,65299377728,64622897814,61188318910,63374154554,66282141380
세종특별자치시,4941669512,5140155382,5384635204,7107467284,4806420400
울산광역시,63442062964,64254967286,62234756844,63417191692,62031836166
인천광역시,39953586200,38799398892,37343947528,39645665966,40596077740
