년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월
201701,제주특별자치도,전체,"가구내고용,미분류자가소비생산",5호미만제거,-,-,-,2017,01
201701,제주특별자치도,전체,건설업 ,443 ,"1,210,372 ","171,776,794 ",141.9 ,2017,01
201701,제주특별자치도,전체,"공공행정, 국방 및 사회보장 행정",585 ,"10,646,675 ","1,394,891,959 ",131 ,2017,01
201701,제주특별자치도,전체,광업 ,28 ,"748,070 ","138,309,079 ",184.9 ,2017,01
201701,제주특별자치도,전체,교육 서비스업,751 ,"9,045,608 ","939,626,477 ",103.9 ,2017,01
201701,제주특별자치도,전체,국제 및 외국기관,8 ,"18,710 ","2,043,642 ",109.2 ,2017,01
201701,제주특별자치도,전체,금융 및 보험업 ,277 ,"1,431,639 ","203,160,022 ",141.9 ,2017,01
201701,제주특별자치도,전체,"농업, 임업 및 어업 ","43,928 ","126,363,452 ","6,024,944,885 ",47.7 ,2017,01
201701,제주특별자치도,전체,도매 및 소매업,"11,649 ","18,745,488 ","2,482,198,745 ",132.4 ,2017,01
201701,제주특별자치도,전체,보건업 및 사회복지 서비스업,"1,227 ","7,884,160 ","904,649,668 ",114.7 ,2017,01
201701,제주특별자치도,전체,부동산업 및 임대업 ,"26,012 ","46,240,733 ","6,613,925,095 ",143 ,2017,01
201701,제주특별자치도,전체,"사업시설관리,사업지원서비스업",285 ,"931,692 ","106,886,373 ",114.7 ,2017,01
201701,제주특별자치도,전체,숙박 및 음식점업 ,"10,757 ","51,597,871 ","6,625,598,543 ",128.4 ,2017,01
201701,제주특별자치도,전체,"예술,스포츠및여가관련서비스업","1,157 ","10,630,487 ","1,411,868,242 ",132.8 ,2017,01
201701,제주특별자치도,전체,운수업,"1,188 ","5,773,355 ","597,488,079 ",103.5 ,2017,01
201701,제주특별자치도,전체,"전기, 가스, 증기 및 수도사업 ",705 ,"19,552,897 ","2,324,122,797 ",118.9 ,2017,01
201701,제주특별자치도,전체,"전문, 과학 및 기술 서비스업 ","1,628 ","2,269,863 ","364,497,946 ",160.6 ,2017,01
201701,제주특별자치도,전체,제조업 ,"1,449 ","21,547,006 ","2,799,018,404 ",129.9 ,2017,01
201701,제주특별자치도,전체,"출판영상,방송통신정보서비스업","2,752 ","5,504,213 ","674,270,705 ",122.5 ,2017,01
201701,제주특별자치도,전체,하수폐기처리원료재생환경복원,984 ,"5,066,617 ","666,098,748 ",131.5 ,2017,01
201701,제주특별자치도,전체,"협회단체,수리기타개인서비스업","2,546 ","8,929,107 ","1,175,238,324 ",131.6 ,2017,01
201701,제주특별자치도,전체,합계,"108,359 ","354,138,015 ","35,620,614,527 ",100.6,2017,01
201702,제주특별자치도,전체,"가구내고용,미분류자가소비생산",5호미만제거,-,-,-,2017,02
201702,제주특별자치도,전체,건설업 ,452 ,"1,192,965 ","168,273,734 ",141.1 ,2017,02
