년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월
201701,전라북도,전체,"가구내고용,미분류자가소비생산",28 ,"19,616 ","2,732,988 ",139.3 ,2017,01
201701,전라북도,전체,건설업 ,"2,894 ","7,436,896 ","1,057,027,095 ",142.1 ,2017,01
201701,전라북도,전체,"공공행정, 국방 및 사회보장 행정","1,942 ","22,660,985 ","3,017,238,183 ",133.1 ,2017,01
201701,전라북도,전체,광업 ,235 ,"6,739,419 ","1,076,649,070 ",159.8 ,2017,01
201701,전라북도,전체,교육 서비스업,"4,070 ","40,852,985 ","4,200,910,209 ",102.8 ,2017,01
201701,전라북도,전체,국제 및 외국기관,5호미만제거,-,-,-,2017,01
201701,전라북도,전체,금융 및 보험업 ,907 ,"7,203,214 ","985,209,857 ",136.8 ,2017,01
201701,전라북도,전체,"농업, 임업 및 어업 ","122,538 ","129,268,286 ","6,306,404,103 ",48.8 ,2017,01
201701,전라북도,전체,도매 및 소매업,"26,610 ","59,736,529 ","7,929,887,003 ",132.7 ,2017,01
201701,전라북도,전체,보건업 및 사회복지 서비스업,"4,436 ","32,783,355 ","3,698,164,314 ",112.8 ,2017,01
201701,전라북도,전체,부동산업 및 임대업 ,"37,063 ","65,939,658 ","9,225,287,822 ",139.9 ,2017,01
201701,전라북도,전체,"사업시설관리,사업지원서비스업","3,272 ","4,999,215 ","701,801,284 ",140.4 ,2017,01
201701,전라북도,전체,숙박 및 음식점업 ,"24,020 ","63,214,178 ","8,171,763,896 ",129.3 ,2017,01
201701,전라북도,전체,"예술,스포츠및여가관련서비스업","3,394 ","19,185,950 ","2,554,083,939 ",133.1 ,2017,01
201701,전라북도,전체,운수업,"15,874 ","28,925,117 ","3,117,022,945 ",107.8 ,2017,01
201701,전라북도,전체,"전기, 가스, 증기 및 수도사업 ","3,892 ","17,607,177 ","1,970,469,773 ",111.9 ,2017,01
201701,전라북도,전체,"전문, 과학 및 기술 서비스업 ","1,428 ","9,226,198 ","1,235,699,598 ",133.9 ,2017,01
201701,전라북도,전체,제조업 ,"9,986 ","1,073,418,814 ","119,938,827,778 ",111.7 ,2017,01
201701,전라북도,전체,"출판영상,방송통신정보서비스업","9,253 ","15,205,929 ","1,875,189,475 ",123.3 ,2017,01
201701,전라북도,전체,하수폐기처리원료재생환경복원,"2,048 ","35,053,919 ","3,991,970,160 ",113.9 ,2017,01
201701,전라북도,전체,"협회단체,수리기타개인서비스업","12,316 ","29,815,309 ","4,099,410,771 ",137.5 ,2017,01
201701,전라북도,전체,합계,"286,206 ","1,669,292,749 ","185,155,750,263 ",110.9,2017,01
201702,전라북도,전체,"가구내고용,미분류자가소비생산",26 ,"18,738 ","2,586,121 ",138 ,2017,02
201702,전라북도,전체,건설업 ,"2,817 ","7,782,187 ","1,093,019,559 ",140.5 ,2017,02
201702,전라북도,전체,"공공행정, 국방 및 사회보장 행정","1,946 ","23,158,602 ","3,079,058,079 ",133 ,2017,02
201702,전라북도,전체,광업 ,237 ,"5,850,870 ","978,492,025 ",167.2 ,2017,02
201702,전라북도,전체,교육 서비스업,"4,065 ","41,004,046 ","4,171,013,744 ",101.7 ,2017,02
201702,전라북도,전체,국제 및 외국기관,5호미만제거,-,-,-,2017,02
201702,전라북도,전체,금융 및 보험업 ,908 ,"7,376,225 ","1,004,220,569 ",136.1 ,2017,02
201702,전라북도,전체,"농업, 임업 및 어업 ","122,199 ","137,346,279 ","6,596,585,575 ",48 ,2017,02
201702,전라북도,전체,도매 및 소매업,"26,523 ","60,177,467 ","7,969,982,403 ",132.4 ,2017,02
201702,전라북도,전체,보건업 및 사회복지 서비스업,"4,435 ","34,698,937 ","3,825,155,623 ",110.2 ,2017,02
201702,전라북도,전체,부동산업 및 임대업 ,"37,234 ","68,604,970 ","9,401,688,502 ",137 ,2017,02
201702,전라북도,전체,"사업시설관리,사업지원서비스업","3,290 ","5,347,057 ","732,362,558 ",137 ,2017,02
201702,전라북도,전체,숙박 및 음식점업 ,"23,980 ","64,448,964 ","8,285,288,628 ",128.6 ,2017,02
201702,전라북도,전체,"예술,스포츠및여가관련서비스업","3,400 ","18,179,299 ","2,479,387,528 ",136.4 ,2017,02
201702,전라북도,전체,운수업,"15,942 ","27,091,438 ","3,017,500,766 ",111.4 ,2017,02
201702,전라북도,전체,"전기, 가스, 증기 및 수도사업 ","3,891 ","17,890,710 ","2,653,333,191 ",148.3 ,2017,02
201702,전라북도,전체,"전문, 과학 및 기술 서비스업 ","1,421 ","8,923,816 ","1,221,107,916 ",136.8 ,2017,02
201702,전라북도,전체,제조업 ,"10,006 ","1,034,353,999 ","118,673,247,588 ",114.7 ,2017,02
201702,전라북도,전체,"출판영상,방송통신정보서비스업","9,107 ","15,137,634 ","1,857,650,697 ",122.7 ,2017,02
201702,전라북도,전체,하수폐기처리원료재생환경복원,"2,065 ","32,632,809 ","3,790,871,265 ",116.2 ,2017,02
201702,전라북도,전체,"협회단체,수리기타개인서비스업","12,326 ","31,142,082 ","4,198,377,513 ",134.8 ,2017,02
201702,전라북도,전체,합계,"285,818 ","1,641,166,129 ","185,030,929,850 ",112.7,2017,02
201703,전라북도,전체,"가구내고용,미분류자가소비생산",25 ,"15,513 ","2,025,588 ",130.6 ,2017,03
201703,전라북도,전체,건설업 ,"2,808 ","6,688,294 ","905,490,400 ",135.4 ,2017,03
201703,전라북도,전체,"공공행정, 국방 및 사회보장 행정","1,954 ","20,285,694 ","2,484,288,888 ",122.5 ,2017,03
201703,전라북도,전체,광업 ,238 ,"6,292,813 ","926,439,937 ",147.2 ,2017,03
201703,전라북도,전체,교육 서비스업,"4,058 ","39,478,490 ","3,897,272,217 ",98.7 ,2017,03
201703,전라북도,전체,국제 및 외국기관,5호미만제거,-,-,-,2017,03
201703,전라북도,전체,금융 및 보험업 ,905 ,"6,324,138 ","791,626,932 ",125.2 ,2017,03
201703,전라북도,전체,"농업, 임업 및 어업 ","189,819 ","116,929,119 ","5,693,760,397 ",48.7 ,2017,03
201703,전라북도,전체,도매 및 소매업,"26,462 ","52,251,852 ","6,444,084,567 ",123.3 ,2017,03
201703,전라북도,전체,보건업 및 사회복지 서비스업,"4,438 ","29,197,160 ","3,030,417,535 ",103.8 ,2017,03
201703,전라북도,전체,부동산업 및 임대업 ,"37,317 ","57,076,259 ","7,515,666,503 ",131.7 ,2017,03
201703,전라북도,전체,"사업시설관리,사업지원서비스업","3,294 ","4,528,867 ","596,662,969 ",131.7 ,2017,03
201703,전라북도,전체,숙박 및 음식점업 ,"23,925 ","56,186,262 ","6,829,571,988 ",121.6 ,2017,03
201703,전라북도,전체,"예술,스포츠및여가관련서비스업","3,385 ","14,636,301 ","1,924,839,072 ",131.5 ,2017,03
201703,전라북도,전체,운수업,"15,993 ","25,685,220 ","2,576,545,885 ",100.3 ,2017,03
